TimestampRx	TimestampTx	AccX	AccY	AccZ	MagnX	MagnY	MagnZ	GyroX	GyroY	GyroZ	qW	qX	qY	qZ	HDR_AccX	HDR_AccY	HDR_AccZ
15	54939	-21	-10	-985	349	-406	-237	-0.25	1.625	-4.1875	0.03455966	0.9095076	-0.414218	-0.005007773	0	0	0
15	54959	-62	28	-981	345	-397	-247	4.375	1	-21.125	0.03169695	0.91096	-0.4112229	-0.006544048	0	0	0
31	54979	-40	229	-1005	351	-394	-246	-0.8125	2.9375	-57.8125	0.0340389	0.9140937	-0.4039321	-0.01062282	0	0	0
15	54999	-12	210	-1006	359	-387	-244	-2.4375	3.25	-27.625	0.03895546	0.9155518	-0.4000404	-0.01466025	0	0	0
15	55019	20	265	-987	364	-389	-249	0.625	2.6875	-15.25	0.04305972	0.9158928	-0.3987868	-0.01597868	0	0	0
15	55039	49	87	-1028	368	-385	-257	-0.6875	2.8125	-8.75	0.0445294	0.9160365	-0.3983125	-0.01553872	0	0	0
15	55059	80	243	-952	374	-389	-250	-2.8125	4.125	-5.5625	0.0470533	0.9157649	-0.3986758	-0.01477514	0	0	0
46	55079	-2	200	-1030	377	-386	-254	-3.3125	2.4375	-1.375	0.04865566	0.9154694	-0.3991137	-0.01602381	0	0	0
0	55099	-1	177	-822	378	-386	-261	-3.9375	2.0625	-9.25	0.05093544	0.9156306	-0.3984173	-0.01702325	0	0	0
15	55118	16	112	-923	382	-382	-266	-4.125	1.0625	-1.4375	0.05391769	0.9153863	-0.3985716	-0.0173651	0	0	0
31	55138	46	79	-942	388	-382	-266	-3.8125	3.5	4.875	0.05605272	0.9147913	-0.3996665	-0.01677999	0	0	0
15	55158	49	144	-1107	395	-382	-275	-3.1875	-0.0625	10.0625	0.057459	0.9141976	-0.4008032	-0.01726427	0	0	0
15	55178	27	142	-1140	399	-378	-270	-2.8125	0.375	16.1875	0.0576672	0.9134812	-0.4024301	-0.01663408	0	0	0
15	55198	8	169	-770	404	-382	-275	0.0625	-0.9375	21.375	0.05910866	0.9124495	-0.4045342	-0.01715113	0	0	0
31	55218	-42	-53	-1169	407	-377	-271	-6.3125	-1.3125	20	0.05998618	0.9114155	-0.4067305	-0.01714402	0	0	0
15	55238	30	33	-868	411	-376	-266	-1.5625	4.25	13.5625	0.06121339	0.9107786	-0.4079919	-0.0166714	0	0	0
15	55258	3	-59	-1052	412	-381	-274	-3.0625	-3.5625	24.5625	0.05877958	0.9108092	-0.4083143	-0.01584735	0	0	0
15	55278	125	228	-934	407	-379	-271	4.375	5.25	15.8125	0.05908052	0.9097176	-0.4107562	-0.01424087	0	0	0
