TimestampRx	TimestampTx	AccX	AccY	AccZ	MagnX	MagnY	MagnZ	GyroX	GyroY	GyroZ	qW	qX	qY	qZ	HDR_AccX	HDR_AccY	HDR_AccZ
15	62658	111	-5	-1013	99	-420	-538	-1.4375	1.5625	-3.1875	0.03799785	0.8572842	-0.5133305	-0.01057367	0	0	0
15	62678	94	10	-957	75	-421	-548	-3.6875	0.1875	-0.1875	0.03976161	0.8485404	-0.5275856	-0.00719075	0	0	0
31	62698	106	114	-999	67	-419	-545	-3.5625	2.75	-1.875	0.0410469	0.8397642	-0.5413796	-0.004401282	0	0	0
15	62718	131	5	-999	53	-416	-547	-0.375	2.5625	3.8125	0.04279789	0.8296784	-0.5565979	-0.0009182501	0	0	0
31	62737	201	41	-1015	46	-415	-546	1.4375	4.4375	8.5625	0.04578951	0.8181792	-0.573129	0.003043242	0	0	0
15	62757	175	0	-983	35	-411	-559	-1.875	3.0625	18.875	0.04960676	0.8048353	-0.591372	0.007651553	0	0	0
15	62777	202	-15	-987	38	-407	-556	-0.4375	1.9375	23.0625	0.05199198	0.7919259	-0.6082857	0.01177088	0	0	0
15	62797	184	-25	-984	46	-407	-555	-2.8125	0.75	27.1875	0.05293426	0.7793206	-0.624159	0.01682193	0	0	0
46	62817	188	-92	-991	52	-403	-561	-4.4375	0.5	36.5625	0.05436491	0.766333	-0.6397592	0.02205316	0	0	0
0	62837	192	-12	-962	75	-403	-569	0.0625	3	31.5	0.05358773	0.7559544	-0.6518583	0.02724009	0	0	0
15	62857	86	-126	-983	101	-411	-569	-1.9375	0.4375	32.25	0.04854412	0.7518721	-0.6567869	0.03103042	0	0	0
31	62877	86	-157	-991	124	-412	-563	-0.875	2.1875	23.4375	0.04231351	0.7514388	-0.6575196	0.03488973	0	0	0
15	62897	71	-198	-991	160	-409	-560	-2.4375	1	27.3125	0.03666739	0.7523474	-0.6566063	0.03869274	0	0	0
15	62917	81	-148	-996	184	-415	-543	-1.875	3.8125	29.4375	0.03122366	0.7559584	-0.6525717	0.0412552	0	0	0
15	62937	177	-106	-963	228	-421	-523	-2.9375	1.25	38.0625	0.02833075	0.7577394	-0.6504328	0.0443345	0	0	0
15	62956	30	-167	-991	243	-425	-505	-0.1875	1.5625	41	0.02356955	0.7619248	-0.645537	0.04687391	0	0	0
31	62976	-15	-158	-991	280	-433	-466	-2.5625	2	36.0625	0.01502687	0.7723361	-0.6334799	0.04443491	0	0	0
