TimestampRx	TimestampTx	AccX	AccY	AccZ	MagnX	MagnY	MagnZ	GyroX	GyroY	GyroZ	qW	qX	qY	qZ	HDR_AccX	HDR_AccY	HDR_AccZ
15	111477	-39	30	-958	98	-437	-518	0.375	0.625	26.0625	0.04207132	0.6723607	-0.7389955	0.006838575	0	0	0
15	111497	19	-43	-962	127	-438	-515	-0.3125	1.875	18.375	0.03739515	0.6820297	-0.7303559	0.004162945	0	0	0
15	111517	-64	6	-947	154	-438	-515	-2.0625	1.375	14	0.03487093	0.6918073	-0.7212347	0.002668592	0	0	0
31	111537	-71	65	-990	184	-435	-505	-0.6875	2.9375	12.6875	0.03339406	0.7016017	-0.7117841	0.001845834	0	0	0
15	111557	-84	0	-983	206	-433	-498	-2.0625	2.6875	25.125	0.03064732	0.712746	-0.7007517	-0.000994083	0	0	0
15	111577	-6	2	-973	235	-430	-489	-1.375	2.125	24.5	0.02782423	0.7236785	-0.6895674	-0.00346849	0	0	0
31	111597	-119	-2	-977	245	-437	-479	-2.5625	3.125	23.6875	0.02393671	0.7356961	-0.6768411	-0.008025547	0	0	0
15	111617	-243	8	-982	267	-435	-464	-1.5625	2.5625	14.875	0.01912947	0.7489976	-0.6621246	-0.01508848	0	0	0
15	111637	-221	20	-983	271	-437	-455	-2.75	2.25	9.5	0.01478176	0.7619395	-0.6471004	-0.02215165	0	0	0
15	111657	17	-2	-987	279	-435	-457	-1.625	2.125	1.25	0.01382149	0.7720359	-0.6350537	-0.02182521	0	0	0
15	111677	2	-4	-987	271	-436	-460	0.0625	2.75	0.75	0.01314603	0.7805799	-0.6246058	-0.01974154	0	0	0
31	111696	46	47	-987	273	-437	-458	-0.9375	2.6875	-31.375	0.01160001	0.7908429	-0.6115654	-0.02051206	0	0	0
15	111716	-252	92	-972	281	-434	-455	-2.375	2.375	-26.875	0.009624287	0.8032429	-0.5949518	-0.02721413	0	0	0
15	111736	-359	35	-993	272	-432	-458	-2.8125	1.75	-6.3125	0.005070939	0.8148046	-0.5786459	-0.03516637	0	0	0
31	111756	-231	40	-1013	254	-432	-483	-1	2.0625	-5.75	0.00295345	0.8222097	-0.5678279	-0.03916558	0	0	0
15	111776	-79	76	-1009	240	-431	-488	-0.1875	1.9375	-8	0.002134458	0.8274046	-0.5600378	-0.0418914	0	0	0
15	111796	-105	99	-1043	204	-436	-506	-0.875	2.6875	-9.5	0.00217294	0.8305832	-0.5552891	-0.04219894	0	0	0
15	111816	-221	97	-929	178	-435	-512	-3.5	5.5	-13.8125	0.003234501	0.8321913	-0.5528336	-0.04268669	0	0	0
31	111836	14	40	-917	134	-435	-533	-0.1875	3.0625	-14.4375	0.004304301	0.831974	-0.5531871	-0.04224635	0	0	0
15	111860	91	-57	-976	79	-436	-531	-2.625	1.3125	-18.3125	0.005753415	0.8290285	-0.557865	-0.03828001	0	0	0
15	111880	46	135	-1093	57	-434	-527	-2.5	1.4375	-23.9375	0.008128412	0.8246046	-0.564532	-0.03556408	0	0	0
31	111899	60	122	-1018	12	-434	-515	-2.625	2.1875	-22.75	0.01246271	0.8178079	-0.5744118	-0.03295616	0	0	0
15	111919	70	116	-928	-12	-438	-513	-0.6875	2.4375	-14.75	0.01743251	0.8086085	-0.5873129	-0.03019877	0	0	0
15	111939	166	29	-1029	-55	-436	-502	-1.0625	1.1875	-8.75	0.02199622	0.7972415	-0.6026639	-0.02680058	0	0	0
15	111959	104	131	-1013	-95	-430	-481	-3.125	0.25	-3.75	0.0271993	0.7841035	-0.619567	-0.02405368	0	0	0
15	111979	150	68	-1078	-107	-432	-476	-2.8125	1.4375	-0.3125	0.03180418	0.7704202	-0.6363857	-0.02131578	0	0	0
31	111999	139	105	-958	-134	-432	-465	0.8125	3	5.6875	0.03583432	0.7558867	-0.6534383	-0.0192266	0	0	0
15	112019	222	83	-955	-145	-428	-461	-2.1875	2.0625	9.4375	0.04051804	0.7394509	-0.6718072	-0.01568082	0	0	0
31	112039	172	6	-1045	-161	-426	-455	-2.375	2.125	15.5	0.04424949	0.7234344	-0.6888481	-0.01315297	0	0	0
31	112059	190	-10	-973	-165	-424	-454	-7.125	4.5	18.5	0.0478649	0.7058952	-0.7066538	-0.007832604	0	0	0
0	112079	133	-17	-986	-180	-420	-468	-3.1875	2.5	23.4375	0.0505841	0.688924	-0.7230541	-0.004210227	0	0	0
15	112099	152	35	-979	-176	-416	-461	-0.375	-0.625	24	0.0520841	0.6723081	-0.7384368	-0.0004228401	0	0	0
15	112118	129	-73	-991	-171	-407	-476	-1.25	2.8125	23.1875	0.05172218	0.6568059	-0.7522739	0.003864805	0	0	0
31	112138	182	-23	-976	-173	-406	-484	-1.25	2.25	28.875	0.05271199	0.6409501	-0.7657291	0.00794841	0	0	0
15	112158	125	-52	-977	-164	-406	-510	-2.5	2	29	0.05192453	0.6259915	-0.7779977	0.01257069	0	0	0
15	112178	153	-98	-962	-154	-404	-524	0.25	2.4375	30.6875	0.05175003	0.6111577	-0.7896219	0.01747844	0	0	0
31	112198	29	-152	-1008	-139	-400	-532	-2.75	1.625	30.25	0.04878601	0.5999225	-0.7982865	0.02125194	0	0	0
15	112218	32	-81	-994	-110	-398	-555	-1.625	0.9375	27.0625	0.04487876	0.593242	-0.8034297	0.023463	0	0	0
15	112238	54	-102	-991	-87	-394	-565	-2.0625	0.625	25.8125	0.04007837	0.5893974	-0.806438	0.02573434	0	0	0
15	112258	98	-60	-970	-57	-395	-570	-2.125	1.3125	25.3125	0.03807838	0.5857151	-0.809149	0.02767286	0	0	0
31	112278	66	-73	-983	-38	-396	-573	-2.0625	4.125	24.9375	0.03581711	0.5853977	-0.8094158	0.02954342	0	0	0
15	112298	19	-79	-981	2	-395	-581	-0.625	1.5	25.5625	0.03177448	0.5902749	-0.8060172	0.03003782	0	0	0
15	112318	-84	-103	-986	19	-400	-582	-1.5625	2.375	25.4375	0.02608032	0.6008869	-0.7984022	0.02843764	0	0	0
31	112337	-33	-52	-995	64	-403	-582	-1.625	1	18.875	0.02188419	0.6123088	-0.7898495	0.02714144	0	0	0
15	112357	-53	-58	-972	103	-405	-578	-0.6875	2.0625	16.4375	0.01799568	0.6266161	-0.7787318	0.02460053	0	0	0
15	112377	0	-27	-980	115	-409	-572	-1.375	2.125	12.6875	0.01511193	0.6402096	-0.7677068	0.02301594	0	0	0
15	112397	-31	-55	-983	149	-413	-570	-1.5625	3.25	6.625	0.01141675	0.6563054	-0.7541071	0.02134182	0	0	0
31	112417	-87	-81	-1007	165	-418	-559	-1.75	3.125	6.25	0.007559934	0.67326	-0.7391241	0.01896058	0	0	0
15	112437	-2	-12	-991	195	-421	-544	-2.25	3	1.4375	0.006269172	0.6876788	-0.7257608	0.01816406	0	0	0
15	112457	-19	-17	-972	202	-422	-544	-1.8125	3	-0.3125	0.00526958	0.7021631	-0.7118039	0.01656569	0	0	0
31	112477	-52	27	-980	233	-427	-527	-1.5625	2.0625	-1.375	0.004495936	0.716842	-0.6970861	0.01372303	0	0	0
15	112497	-6	13	-980	239	-429	-523	-1.8125	2.6875	2.375	0.004623197	0.7294763	-0.6838869	0.01190122	0	0	0
15	112517	56	6	-992	257	-433	-505	-2.1875	2.5625	6.6875	0.005472148	0.7402834	-0.6721783	0.01126708	0	0	0
15	112536	-24	1	-976	257	-430	-499	-1	1.875	10.5	0.005038198	0.7513465	-0.6598309	0.008723905	0	0	0
31	112556	-46	16	-982	275	-431	-487	-1.4375	2.375	7.8125	0.00426933	0.762579	-0.6468612	0.005070411	0	0	0
15	112576	-133	8	-979	285	-433	-480	-1.25	2.25	6	0.002355894	0.776067	-0.6306455	-0.0008693968	0	0	0
31	112596	-12	-3	-990	286	-433	-472	-1.625	2.625	1.625	0.001460679	0.7858152	-0.6184517	-0.003119679	0	0	0
15	112616	17	-5	-980	284	-436	-473	-0.4375	2.125	1.25	0.001715888	0.793425	-0.6086618	-0.002156554	0	0	0
15	112636	14	-2	-984	284	-434	-474	-0.9375	2.25	1.375	0.002032869	0.8003879	-0.5994776	-0.001300094	0	0	0
15	112656	9	-2	-980	288	-432	-479	-1.4375	2.4375	1.3125	0.002398088	0.8068468	-0.5907557	-0.000540017	0	0	0
15	112676	6	-1	-979	285	-434	-479	-0.3125	2.6875	0.8125	0.002653089	0.8126951	-0.5826831	0.0002168378	0	0	0
46	112696	82	-62	-976	285	-435	-478	0.125	2.5625	0.6875	0.002866124	0.8185638	-0.574408	0.0006782294	0	0	0
0	112720	-79	79	-966	285	-430	-475	-2.0625	2.9375	-35.1875	0.003287852	0.8279023	-0.5608422	-0.004814458	0	0	0
15	112740	-136	6	-977	289	-424	-482	-1.625	2.375	-5.875	0.002137602	0.8350755	-0.5500354	-0.01026212	0	0	0
