TimestampRx	TimestampTx	AccX	AccY	AccZ	MagnX	MagnY	MagnZ	GyroX	GyroY	GyroZ	qW	qX	qY	qZ	HDR_AccX	HDR_AccY	HDR_AccZ
0	39117	-117	-38	-535	323	-444	-21	-273.625	-347.5625	-30.625	0.5593548	0.7236533	-0.3811884	0.1346982	0	0	0
15	39137	13	-5	-988	319	-445	-17	1.5	8.1875	1.8125	0.2750847	0.8520347	-0.4399853	0.06912313	0	0	0
31	39157	13	-4	-986	322	-447	-23	-1.5625	2.0625	1.375	0.1807936	0.8735448	-0.4495019	0.04670317	0	0	0
15	39177	16	-1	-995	323	-448	-20	-1.75	1.9375	1.4375	0.1345848	0.880649	-0.4528139	0.03610947	0	0	0
15	39197	10	-4	-1002	323	-446	-27	-2.0625	1.9375	1.5	0.1068274	0.8840017	-0.4541535	0.02955611	0	0	0
31	39217	10	-3	-998	324	-444	-23	-1.75	1.9375	1.3125	0.0884257	0.8858935	-0.4546806	0.02528292	0	0	0
0	39237	10	-3	-989	324	-444	-22	-1.875	1.9375	1.5625	0.07529882	0.8869884	-0.4550641	0.02232302	0	0	0
31	39257	14	-5	-999	319	-448	-23	-1.75	1.875	1.5	0.06536604	0.8875866	-0.4555322	0.02019403	0	0	0
15	39277	6	-5	-999	319	-444	-21	-1.875	1.625	1.3125	0.05759291	0.8880919	-0.4556693	0.01847843	0	0	0
15	39297	17	-4	-995	317	-443	-20	-1.875	2	1.5	0.05141544	0.8882102	-0.4562301	0.01712403	0	0	0
15	39316	12	-2	-993	319	-445	-24	-2.125	2.125	1.5625	0.046405	0.8882515	-0.4567246	0.01607654	0	0	0
31	39336	16	-4	-1000	323	-448	-30	-1.8125	1.875	1.5625	0.04220468	0.8883647	-0.4569382	0.01531263	0	0	0
15	39356	16	-2	-994	319	-450	-24	-1.875	1.9375	1.25	0.03792571	0.8883575	-0.457355	0.01446227	0	0	0
31	39376	16	-3	-994	326	-443	-26	-1.8125	2.0625	1.375	0.03495063	0.8885305	-0.4572743	0.0138675	0	0	0
15	39396	12	-4	-999	326	-440	-24	-1.875	1.75	1.75	0.03230841	0.8888393	-0.4568841	0.01333311	0	0	0
15	39416	14	-6	-991	322	-442	-28	-1.875	2.0625	1.625	0.02993994	0.8890048	-0.4567351	0.01292336	0	0	0
15	39436	15	-4	-996	325	-444	-29	-1.625	1.75	1.25	0.02781831	0.8891089	-0.4566804	0.01243273	0	0	0
31	39456	17	-2	-994	326	-447	-27	-1.5625	2	1.5625	0.02602319	0.8891889	-0.4566403	0.01205903	0	0	0
15	39476	17	-4	-990	317	-441	-22	-1.9375	1.75	1.5	0.02427174	0.8891666	-0.4567901	0.01168402	0	0	0
15	39500	13	-3	-990	326	-446	-23	-1.8125	1.9375	1.625	0.02278303	0.8892452	-0.4567234	0.01130219	0	0	0
31	39520	10	-3	-991	322	-446	-26	-1.625	1.625	1.5	0.02150013	0.8892608	-0.4567597	0.01111519	0	0	0
15	39539	5	-3	-991	324	-446	-24	-1.9375	2	1.375	0.02028582	0.8892874	-0.4567721	0.01076123	0	0	0
15	39559	8	-5	-998	325	-446	-31	-1.8125	2	1.4375	0.01911718	0.8893382	-0.4567293	0.01051194	0	0	0
15	39579	16	-2	-994	317	-445	-31	-1.8125	1.8125	1.5	0.01815632	0.8892515	-0.4569404	0.01037186	0	0	0
15	39599	16	-3	-994	326	-444	-32	-1.9375	2.0625	1.625	0.01724477	0.8893803	-0.4567281	0.01023767	0	0	0
31	39619	19	-3	-988	324	-439	-28	-1.875	1.75	1.5625	0.01644023	0.8893797	-0.4567612	0.01013571	0	0	0
15	39639	13	-2	-996	327	-443	-30	-1.9375	2	1.625	0.01569961	0.8895208	-0.456516	0.00997276	0	0	0
15	39659	14	-2	-994	328	-444	-24	-2	2	1.4375	0.01500449	0.8896151	-0.4563584	0.009837513	0	0	0
31	39679	12	-3	-997	328	-443	-30	-1.8125	1.875	1.4375	0.01440638	0.8897528	-0.456114	0.009619285	0	0	0
15	39699	17	-4	-990	324	-446	-30	-1.9375	1.75	1.4375	0.01384011	0.8897914	-0.4560574	0.009562147	0	0	0
15	39719	15	-2	-997	324	-443	-28	-2.125	2	1.5625	0.0133283	0.8898112	-0.456036	0.009469083	0	0	0
15	39738	11	-5	-989	325	-442	-28	-1.875	1.625	1.375	0.01281307	0.8898875	-0.4559042	0.00936399	0	0	0
31	39758	10	-4	-989	324	-447	-25	-1.875	1.8125	1.375	0.01237146	0.8898754	-0.4559405	0.009332839	0	0	0
15	39778	13	-6	-994	331	-448	-20	-1.875	1.9375	1.5625	0.01195133	0.8899398	-0.4558246	0.009393535	0	0	0
31	39798	14	-6	-988	322	-446	-28	-2.0625	1.875	1.5625	0.01158197	0.8898553	-0.4559995	0.009371253	0	0	0
15	39818	15	-5	-999	323	-448	-26	-1.875	1.9375	1.625	0.01122223	0.8897544	-0.4562065	0.009321061	0	0	0
15	39838	18	-4	-990	328	-443	-27	-2	1.875	1.5625	0.01092605	0.8898158	-0.4560923	0.009393966	0	0	0
15	39858	13	-3	-993	326	-446	-21	-1.8125	2	1.4375	0.01060005	0.8898518	-0.4560302	0.009372137	0	0	0
15	39878	14	-3	-986	326	-446	-21	-1.625	2	1.4375	0.01025305	0.8898094	-0.4561229	0.0092694	0	0	0
15	39898	14	-2	-994	323	-442	-21	-1.8125	1.9375	1.375	0.009990666	0.8898399	-0.4560713	0.009165665	0	0	0
31	39918	15	-7	-987	320	-444	-18	-1.625	2	1.1875	0.00969779	0.8898417	-0.4560755	0.009099277	0	0	0
15	39938	14	-2	-989	325	-444	-21	-1.8125	1.875	1.4375	0.00936275	0.8898664	-0.4560362	0.009007465	0	0	0
31	39957	11	-1	-986	331	-446	-23	-1.875	2.25	1.3125	0.009247474	0.8899793	-0.4558191	0.008960295	0	0	0
15	39977	16	-4	-990	318	-442	-25	-1.9375	1.75	1.5625	0.009091988	0.8898813	-0.4560124	0.009021326	0	0	0
15	39997	8	-6	-991	320	-446	-28	-1.8125	2	1.375	0.008878418	0.8898352	-0.4561082	0.008929164	0	0	0
15	40017	9	-7	-987	328	-449	-18	-1.875	1.8125	1.4375	0.008668118	0.8898116	-0.4561593	0.008879701	0	0	0
31	40037	8	-9	-985	330	-448	-20	-1.9375	1.8125	1.3125	0.008522895	0.8898724	-0.4560443	0.008830361	0	0	0
15	40057	12	-3	-984	326	-448	-31	-1.875	1.875	1.5	0.008361852	0.8898128	-0.4561635	0.008843468	0	0	0
15	40077	9	-2	-991	316	-449	-20	-1.875	2.0625	1.375	0.008187533	0.8895978	-0.4565876	0.008744745	0	0	0
31	40097	13	-5	-986	323	-448	-29	-1.9375	2.125	1.3125	0.008120703	0.8894829	-0.4568116	0.008800787	0	0	0
15	40117	13	-3	-983	321	-446	-22	-1.875	1.8125	1.4375	0.007984472	0.8894024	-0.4569708	0.008790057	0	0	0
15	40137	8	-3	-988	322	-445	-27	-1.8125	1.875	1.5	0.007888555	0.8893566	-0.4570624	0.008755376	0	0	0
15	40157	8	-3	-989	322	-445	-21	-1.75	2	1.75	0.007833317	0.8893431	-0.4570887	0.008794665	0	0	0
31	40176	12	-5	-980	328	-451	-29	-1.8125	2	1.375	0.007688549	0.8893822	-0.4570146	0.008818564	0	0	0
15	40196	19	-8	-991	324	-441	-24	-2	2.0625	1.4375	0.007608734	0.8894404	-0.4569014	0.008893495	0	0	0
15	40216	8	-3	-984	325	-445	-20	-1.875	1.875	1.5	0.007498269	0.8894665	-0.4568534	0.008843577	0	0	0
31	40236	13	-5	-985	327	-445	-16	-1.9375	1.9375	1.4375	0.007403238	0.8895243	-0.4567412	0.008893218	0	0	0
15	40256	15	-8	-983	320	-446	-21	-1.75	2	1.5	0.007272481	0.889411	-0.4569644	0.008875796	0	0	0
15	40276	18	-4	-983	325	-446	-19	-1.8125	1.9375	1.5	0.00727248	0.8893746	-0.457033	0.008986816	0	0	0
15	40296	16	-5	-990	323	-442	-19	-1.8125	1.875	1.75	0.007274359	0.8893422	-0.4570958	0.008997875	0	0	0
15	40316	13	-2	-988	323	-443	-28	-1.9375	2	1.375	0.007237315	0.8893204	-0.4571397	0.008957752	0	0	0
31	40340	8	-3	-991	327	-443	-31	-1.75	1.875	1.25	0.007178587	0.8894571	-0.4568751	0.008928213	0	0	0
15	40360	17	-2	-990	324	-443	-25	-1.9375	2	1.625	0.007174381	0.8895052	-0.4567806	0.008967224	0	0	0
15	40379	13	-3	-983	326	-442	-27	-1.75	2	1.625	0.007189909	0.8895421	-0.4567081	0.008995512	0	0	0
31	40399	13	-4	-976	327	-443	-23	-1.5625	2	1.5625	0.007232399	0.8896441	-0.4565077	0.009035174	0	0	0
15	40419	12	-3	-990	329	-443	-30	-1.875	1.9375	1.5	0.007249751	0.8897876	-0.4562269	0.009082556	0	0	0
31	40439	9	-3	-981	322	-440	-26	-1.8125	2	1.75	0.007285111	0.8898258	-0.4561508	0.009139971	0	0	0
0	40459	14	-4	-985	329	-438	-26	-2.0625	2	1.375	0.007280665	0.8899794	-0.4558503	0.009175457	0	0	0
31	40479	9	-3	-986	325	-442	-28	-1.875	2	1.375	0.007246945	0.8900499	-0.4557153	0.009069419	0	0	0
15	40499	7	-2	-982	328	-444	-24	-1.75	1.875	1.5	0.007220638	0.8901247	-0.4555714	0.008978012	0	0	0
15	40519	19	-4	-991	327	-443	-33	-1.625	1.9375	1.375	0.007113618	0.8901442	-0.4555354	0.008964822	0	0	0
