TimestampRx	TimestampTx	AccX	AccY	AccZ	MagnX	MagnY	MagnZ	GyroX	GyroY	GyroZ	qW	qX	qY	qZ	HDR_AccX	HDR_AccY	HDR_AccZ
0	50917	-175	-54	-248	241	-421	-495	-245.0625	-306	-27.0625	0.6357898	0.7173976	-0.002717486	-0.2847885	0	0	0
0	50937	12	-8	-989	249	-419	-506	1.75	8.375	1.75	0.3416914	0.879391	-0.2864251	-0.1669706	0	0	0
31	50957	12	-4	-993	249	-418	-493	-1.3125	2.5	1.5	0.2295472	0.893729	-0.3681362	-0.1141591	0	0	0
15	50977	13	-4	-1002	246	-421	-494	-1.625	1.9375	1.4375	0.1722183	0.8933631	-0.406023	-0.08595625	0	0	0
15	50997	8	-5	-994	250	-424	-496	-1.875	2	1.5	0.1373674	0.8908671	-0.4275875	-0.0682272	0	0	0
31	51017	8	-6	-999	251	-425	-495	-1.875	1.9375	1.4375	0.1137668	0.8884241	-0.4411098	-0.05640766	0	0	0
15	51037	6	-7	-994	245	-422	-491	-1.625	1.875	1.375	0.09664293	0.8860415	-0.4509021	-0.04772673	0	0	0
15	51057	6	-6	-995	251	-423	-496	-1.875	1.9375	1.4375	0.08390154	0.8840551	-0.4579718	-0.04085186	0	0	0
15	51077	7	-5	-1000	244	-423	-493	-1.75	1.9375	1.375	0.07381724	0.8822607	-0.4635873	-0.03540849	0	0	0
31	51097	3	-7	-994	256	-422	-493	-1.875	2.0625	1.5	0.06567283	0.8809003	-0.4676914	-0.03108697	0	0	0
15	51117	5	-2	-997	247	-425	-490	-1.4375	2.25	1.375	0.05892549	0.8796107	-0.4712348	-0.02739754	0	0	0
15	51136	7	-7	-991	250	-420	-486	-1.625	2.0625	1.5	0.0532611	0.8784284	-0.4742754	-0.02428317	0	0	0
31	51156	8	-8	-994	250	-422	-492	-1.5625	1.8125	1.3125	0.04754338	0.8771148	-0.4774546	-0.02112942	0	0	0
15	51176	7	-4	-1003	246	-422	-491	-2.0625	2.0625	1.3125	0.0434829	0.8761396	-0.4797235	-0.01881451	0	0	0
15	51196	13	-8	-995	250	-423	-488	-1.9375	1.9375	1.4375	0.03995109	0.8753201	-0.4816031	-0.01664192	0	0	0
15	51216	3	-5	-995	242	-418	-490	-1.8125	2	1.3125	0.03688993	0.8744546	-0.4834788	-0.01471867	0	0	0
31	51236	3	-10	-993	250	-420	-494	-1.9375	2	1.3125	0.03416941	0.8737808	-0.4849444	-0.01298124	0	0	0
15	51256	13	-4	-998	243	-421	-491	-2	1.8125	1.375	0.03176124	0.8730065	-0.4865384	-0.01146302	0	0	0
15	51276	5	-9	-998	241	-422	-492	-1.8125	1.9375	1.3125	0.02948508	0.8723103	-0.487956	-0.0102167	0	0	0
15	51300	3	-5	-996	246	-420	-488	-1.5	2.0625	1.375	0.02748198	0.8717269	-0.4891389	-0.008949035	0	0	0
31	51320	8	-8	-989	248	-418	-490	-1.8125	1.8125	1.5	0.02567892	0.8712411	-0.4901216	-0.007765864	0	0	0
15	51339	8	-5	-992	249	-419	-490	-1.875	1.875	1.4375	0.02400818	0.8707757	-0.4910472	-0.006778556	0	0	0
15	51359	7	-5	-994	242	-417	-495	-1.5	2.1875	1.3125	0.0224702	0.8702913	-0.49199	-0.005830537	0	0	0
15	51379	5	-3	-991	246	-419	-491	-1.875	2	1.4375	0.0211251	0.8698917	-0.4927646	-0.005027627	0	0	0
31	51399	11	-8	-992	241	-417	-491	-1.625	2	1.1875	0.01986894	0.8694094	-0.4936748	-0.004194742	0	0	0
15	51419	5	-5	-993	246	-422	-485	-1.5	2.0625	1.375	0.01869954	0.8690112	-0.4944271	-0.003414495	0	0	0
15	51439	2	-4	-991	240	-422	-487	-1.75	2.125	1.4375	0.01770256	0.8684941	-0.4953757	-0.002738399	0	0	0
